,open,high,low,close,adjusted close,volume,dividend amount,split coeff
2018-09-21,24.09,24.12,23.86,24.01,24.01,7062524.0,0.0,1.0
2018-09-20,23.97,24.09,23.88,23.98,23.98,2700500.0,0.0,1.0
2018-09-19,23.13,23.97,23.07,23.88,23.88,4576100.0,0.0,1.0
2018-09-18,23.13,23.25,23.0,23.15,23.15,2095600.0,0.0,1.0
2018-09-17,23.1,23.34,22.99,23.04,23.04,1940300.0,0.0,1.0
2018-09-14,22.92,23.13,22.86,23.09,23.09,2924200.0,0.0,1.0
2018-09-13,22.79,22.93,22.74,22.84,22.84,2561500.0,0.0,1.0
2018-09-12,23.22,23.25,22.68,22.73,22.73,4721500.0,0.0,1.0
2018-09-11,23.3,23.4,23.13,23.25,23.25,1565800.0,0.0,1.0
2018-09-10,23.31,23.5,23.26,23.31,23.31,2163800.0,0.0,1.0
2018-09-07,23.26,23.3,23.07,23.26,23.26,2368200.0,0.0,1.0
2018-09-06,23.56,23.69,23.28,23.3,23.3,7219000.0,0.0,1.0
2018-09-05,23.56,23.84,23.53,23.56,23.56,4137300.0,0.0,1.0
2018-09-04,23.8,24.0,23.52,23.62,23.62,4242600.0,0.0,1.0
2018-08-31,24.12,24.25,23.88,23.88,23.88,3251700.0,0.0,1.0
2018-08-30,24.21,24.32,24.11,24.2,24.2,1650800.0,0.0,1.0
2018-08-29,24.15,24.32,24.06,24.24,24.24,1753000.0,0.0,1.0
2018-08-28,24.43,24.44,24.15,24.15,24.15,1753000.0,0.0,1.0
2018-08-27,24.14,24.4,24.13,24.25,24.25,2722300.0,0.0,1.0
2018-08-24,24.01,24.25,23.99,24.02,24.02,2106600.0,0.0,1.0
2018-08-23,23.98,24.17,23.92,23.95,23.95,2035600.0,0.0,1.0
2018-08-22,24.13,24.19,24.01,24.01,24.01,3271900.0,0.0,1.0
2018-08-21,24.17,24.34,24.12,24.16,24.16,2857300.0,0.0,1.0
2018-08-20,24.3,24.37,24.1,24.19,24.19,3626000.0,0.0,1.0
2018-08-17,24.58,24.6,24.4,24.54,24.32,2126200.0,0.0,1.0
2018-08-16,24.49,24.76,24.38,24.54,24.32,3137900.0,0.0,1.0
2018-08-15,24.2,24.44,24.03,24.36,24.1416,3885700.0,0.0,1.0
2018-08-14,23.98,24.54,23.95,24.5,24.2804,3170200.0,0.0,1.0
2018-08-13,23.93,24.11,23.86,23.93,23.7155,2103200.0,0.0,1.0
2018-08-10,23.99,23.99,23.62,23.91,23.6956,2461100.0,0.0,1.0
2018-08-09,23.74,24.12,23.46,24.12,23.9038,4951800.0,0.0,1.0
2018-08-08,23.36,23.61,23.32,23.4,23.1902,2073400.0,0.0,1.0
2018-08-07,23.6,23.75,23.32,23.36,23.1506,2746400.0,0.0,1.0
2018-08-03,23.76,23.8,23.57,23.58,23.3686,2315700.0,0.0,1.0
2018-08-02,23.98,23.98,23.42,23.78,23.5668,3025600.0,0.0,1.0
2018-08-01,24.21,24.25,24.02,24.06,23.8443,1500600.0,0.0,1.0
2018-07-31,23.9,24.17,23.9,24.16,23.9434,2747600.0,0.0,1.0
2018-07-30,24.03,24.13,23.88,23.88,23.6659,3608500.0,0.0,1.0
2018-07-27,24.06,24.22,23.94,23.95,23.7353,3141700.0,0.0,1.0
2018-07-26,23.91,24.22,23.82,24.1,23.8839,4400500.0,0.0,1.0
2018-07-25,24.05,24.05,23.76,23.89,23.6758,2200100.0,0.0,1.0
2018-07-24,23.9,24.3,23.9,24.03,23.8146,2370200.0,0.0,1.0
2018-07-23,23.62,23.95,23.61,23.9,23.6857,1752500.0,0.0,1.0
2018-07-20,23.8,23.84,23.57,23.58,23.3686,1936500.0,0.0,1.0
2018-07-19,24.0,24.18,23.82,23.87,23.656,2172200.0,0.0,1.0
2018-07-18,23.95,24.08,23.89,24.01,23.7948,1634700.0,0.0,1.0
2018-07-17,23.77,23.93,23.6,23.86,23.6461,2087800.0,0.0,1.0
2018-07-16,23.69,23.79,23.6,23.74,23.5272,1426600.0,0.0,1.0
2018-07-13,23.55,23.69,23.49,23.68,23.4677,1787300.0,0.0,1.0
2018-07-12,23.53,23.64,23.49,23.53,23.3191,2338700.0,0.0,1.0
2018-07-11,23.75,23.77,23.4,23.43,23.22,4704700.0,0.0,1.0
2018-07-10,23.8,23.88,23.62,23.86,23.6461,2956800.0,0.0,1.0
2018-07-09,23.5,23.79,23.43,23.68,23.4677,2072100.0,0.0,1.0
2018-07-06,23.45,23.55,23.35,23.47,23.2596,1621200.0,0.0,1.0
2018-07-05,23.76,23.79,23.47,23.51,23.2992,2139800.0,0.0,1.0
2018-07-04,23.7,23.78,23.57,23.69,23.4776,1207100.0,0.0,1.0
2018-07-03,23.79,23.85,23.48,23.67,23.4578,3267900.0,0.0,1.0
2018-06-29,23.68,23.74,23.53,23.62,23.4082,2548600.0,0.0,1.0
2018-06-28,24.01,24.01,23.53,23.63,23.4182,2685300.0,0.0,1.0
2018-06-27,24.41,24.49,23.95,24.05,23.8344,3744600.0,0.0,1.0
2018-06-26,24.42,24.62,24.31,24.31,24.0921,3792400.0,0.0,1.0
2018-06-25,25.1,25.13,24.34,24.35,24.1317,7318000.0,0.0,1.0
2018-06-22,24.97,25.2,24.97,25.15,24.9245,2278400.0,0.0,1.0
2018-06-21,24.84,24.94,24.79,24.89,24.6669,1898200.0,0.0,1.0
2018-06-20,24.98,25.04,24.84,24.84,24.6173,2375000.0,0.0,1.0
2018-06-19,24.7,25.02,24.68,24.84,24.6173,2369100.0,0.0,1.0
2018-06-18,24.8,25.0,24.8,24.96,24.7362,2074900.0,0.0,1.0
2018-06-15,24.83,24.97,24.73,24.92,24.6966,8888000.0,0.0,1.0
2018-06-14,24.99,25.0,24.78,24.87,24.647,2075300.0,0.0,1.0
2018-06-13,24.87,24.97,24.77,24.94,24.7164,1730400.0,0.0,1.0
2018-06-12,24.91,24.94,24.7,24.84,24.6173,2061200.0,0.0,1.0
2018-06-11,24.81,25.0,24.8,24.82,24.5975,2080400.0,0.0,1.0
2018-06-08,24.74,24.8,24.66,24.74,24.5182,1807900.0,0.0,1.0
2018-06-07,24.75,24.86,24.66,24.75,24.5281,1862800.0,0.0,1.0
2018-06-06,24.67,24.74,24.47,24.66,24.4389,1807900.0,0.0,1.0
2018-06-05,24.76,24.84,24.57,24.6,24.3795,1839600.0,0.0,1.0
2018-06-04,24.7,24.81,24.66,24.76,24.538,1985200.0,0.0,1.0
2018-06-01,24.65,24.72,24.53,24.69,24.4687,1650900.0,0.0,1.0
2018-05-31,24.31,24.48,24.17,24.46,24.2407,2641800.0,0.0,1.0
2018-05-30,24.2,24.37,24.05,24.36,24.1416,2004900.0,0.0,1.0
2018-05-29,24.6,24.63,24.03,24.12,23.9038,3579700.0,0.0,1.0
2018-05-28,24.93,25.03,24.62,24.84,24.6173,1319400.0,0.0,1.0
2018-05-25,24.86,25.04,24.85,24.93,24.7065,3936400.0,0.0,1.0
2018-05-24,25.0,25.15,24.85,24.94,24.7164,3054900.0,0.0,1.0
2018-05-23,24.95,25.1,24.89,25.01,24.7858,2592700.0,0.0,1.0
2018-05-22,24.79,25.14,24.79,25.1,24.875,3400600.0,0.0,1.0
2018-05-18,24.88,24.94,24.76,24.83,24.6074,2213300.0,0.0,1.0
2018-05-17,24.96,25.08,24.82,24.91,24.6867,3349200.0,0.0,1.0
2018-05-16,24.84,24.98,24.68,24.94,24.7164,3277300.0,0.0,1.0
2018-05-15,24.81,25.07,24.76,24.86,24.6371,3614200.0,0.0,1.0
2018-05-14,24.71,24.91,24.69,24.8,24.5777,3317000.0,0.0,1.0
2018-05-11,24.78,24.95,24.7,24.82,24.3795,3383700.0,0.0,1.0
2018-05-10,24.7,24.94,24.61,24.74,24.3009,4942400.0,0.0,1.0
2018-05-09,24.79,24.85,24.35,24.75,24.3107,4673800.0,0.0,1.0
2018-05-08,24.55,24.8,24.34,24.46,24.0259,4177600.0,0.0,1.0
2018-05-07,24.21,24.54,24.09,24.49,24.0553,4734400.0,0.0,1.0
2018-05-04,23.83,24.23,23.74,24.09,23.6624,5315300.0,0.0,1.0
2018-05-03,24.03,24.32,23.7,23.77,23.3481,7918200.0,0.0,1.0
2018-05-02,24.21,24.24,23.35,23.45,23.0338,5050700.0,0.0,1.0
2018-05-01,24.22,24.3,24.09,24.23,23.7999,1740200.0,0.0,1.0
