,open,high,low,close,adjusted close,volume,dividend amount,split coeff
2018-09-21,52.41,52.53,52.1,52.35,52.35,2012917.0,0.0,1.0
2018-09-20,52.58,52.69,52.18,52.27,52.27,1027700.0,0.0,1.0
2018-09-19,51.14,52.66,51.02,52.32,52.32,1851500.0,0.0,1.0
2018-09-18,50.89,51.33,50.67,51.3,51.3,696200.0,0.0,1.0
2018-09-17,50.54,51.03,50.45,50.86,50.86,614300.0,0.0,1.0
2018-09-14,50.47,50.73,50.28,50.54,50.54,541800.0,0.0,1.0
2018-09-13,50.5,50.68,50.23,50.34,50.34,612500.0,0.0,1.0
2018-09-12,50.85,50.91,50.09,50.3,50.3,1179400.0,0.0,1.0
2018-09-11,50.57,50.89,50.31,50.68,50.68,649100.0,0.0,1.0
2018-09-10,50.89,50.99,50.68,50.78,50.78,917800.0,0.0,1.0
2018-09-07,51.39,51.42,50.75,50.83,50.83,1156400.0,0.0,1.0
2018-09-06,51.38,51.67,51.26,51.46,51.46,633900.0,0.0,1.0
2018-09-05,51.5,51.79,51.33,51.43,51.43,668600.0,0.0,1.0
2018-09-04,51.91,51.91,51.21,51.51,51.51,985700.0,0.0,1.0
2018-08-31,52.3,52.47,51.81,51.87,51.87,1187900.0,0.0,1.0
2018-08-30,52.24,52.49,52.07,52.4,52.4,907000.0,0.0,1.0
2018-08-29,52.0,52.45,51.76,52.19,52.19,793200.0,0.0,1.0
2018-08-28,52.28,52.38,51.86,52.03,52.03,876700.0,0.0,1.0
2018-08-27,52.64,52.85,52.6,52.7,52.225,993600.0,0.0,1.0
2018-08-24,52.49,52.72,52.39,52.51,52.0367,859200.0,0.0,1.0
2018-08-23,52.45,52.6,52.15,52.35,51.8782,1484000.0,0.0,1.0
2018-08-22,52.47,52.77,52.37,52.4,51.9277,1459100.0,0.0,1.0
2018-08-21,52.64,53.1,52.46,52.46,51.9872,1553300.0,0.0,1.0
2018-08-20,53.02,53.05,52.6,52.72,52.2448,898600.0,0.0,1.0
2018-08-17,52.89,53.15,52.75,53.03,52.552,855400.0,0.0,1.0
